date,Total_Doses
2021-01-15,
2021-01-16,191181.0
2021-01-17,224301.0
2021-01-18,454049.0
2021-01-19,674835.0
2021-01-20,806484.0
2021-01-21,1043534.0
2021-01-22,1390592.0
2021-01-23,1582201.0
2021-01-24,1615504.0
2021-01-25,2023809.0
2021-01-26,2029480.0
2021-01-27,2355979.0
2021-01-28,2928053.0
2021-01-29,3500027.0
2021-01-30,3744334.0
2021-01-31,3758843.0
2021-02-01,3950156.0
2021-02-02,4138918.0
2021-02-03,4449552.0
2021-02-04,4959445.0
2021-02-05,5416849.0
2021-02-06,5775322.0
2021-02-07,5812362.0
2021-02-08,6259008.0
2021-02-09,6611561.0
2021-02-10,7017114.0
2021-02-11,7505010.0
2021-02-12,7967647.0
2021-02-13,8052454.0
2021-02-15,8516771.0
2021-02-16,8857341.0
2021-02-17,9186757.0
2021-02-18,9846523.0
2021-02-19,10449942.0
2021-02-20,10838323.0
2021-02-21,11085173.0
2021-02-22,11424094.0
2021-02-23,11907392.0
2021-02-24,12366633.0
2021-02-25,13067047.0
2021-02-26,13756940.0
2021-02-27,14242547.0
2021-02-28,14301266.0
2021-03-01,14854136.0
2021-03-02,15620749.0
2021-03-03,16616048.0
2021-03-04,18005503.0
2021-03-05,19497704.0
2021-03-06,20922344.0
2021-03-07,20989010.0
2021-03-08,23008733.0
2021-03-09,24367906.0
2021-03-10,25685011.0
2021-03-11,26164920.0
2021-03-12,28218457.0
2021-03-13,29738409.0
2021-03-14,29908038.0
2021-03-15,32947432.0
2021-03-16,35064536.0
2021-03-17,37143255.0
2021-03-18,39339817.0
2021-03-19,42063392.0
2021-03-20,44603841.0
2021-03-21,45065998.0
2021-03-22,48494594.0
2021-03-23,50841286.0
2021-03-24,53145709.0
2021-03-25,55504440.0
2021-03-26,58109773.0
2021-03-27,60269782.0
2021-03-28,60530435.0
2021-03-29,61113354.0
2021-03-30,63054353.0
2021-03-31,65117896.0
2021-04-01,68789138.0
2021-04-02,73054295.0
2021-04-03,75979651.0
2021-04-04,79105163.0
2021-04-05,83110926.0
2021-04-06,87077474.0
2021-04-07,90198673.0
2021-04-08,94334262.0
2021-04-09,98075160.0
2021-04-10,101595147.0
2021-04-11,104528565.0
2021-04-12,108533085.0
2021-04-13,111179578.0
2021-04-14,114493238.0
2021-04-15,117223509.0
2021-04-16,119937641.0
2021-04-17,122622590.0
2021-04-18,123852566.0
2021-04-19,127129113.0
2021-04-21,129646105.0
2021-04-22,132754608.0
2021-04-25,139185173.0
2021-04-26,142524947.0
2021-04-27,144879233.0
2021-04-28,147053392.0
2021-04-29,149268772.0
2021-04-30,151998107.0
2021-05-01,153626325.0
2021-05-02,154211511.0
2021-05-03,156082136.0
2021-05-04,157750752.0
2021-05-05,159931238.0
2021-05-06,162603603.0
2021-05-07,165190000.0
2021-05-08,167493857.0
2021-05-09,168304868.0
2021-05-10,171098918.0
2021-05-11,173862643.0
2021-05-12,176045577.0
2021-05-13,178361846.0
2021-05-14,179646413.0
2021-05-15,181544536.0
2021-05-16,182251006.0
2021-05-17,183817204.0
2021-05-18,185191602.0
2021-05-19,186410600.0
2021-05-20,187886885.0
2021-05-22,190842497.0
2021-05-23,191719240.0
