,Date,Confirmed,Deaths,Recovered,Active
0,2020-01-30,1.0,0.0,0.0,0.0
1,2020-01-31,0.0,0.0,0.0,0.0
2,2020-02-01,0.0,0.0,0.0,0.0
3,2020-02-02,1.0,0.0,0.0,0.0
4,2020-02-03,1.0,0.0,0.0,0.0
5,2020-02-04,0.0,0.0,0.0,0.0
6,2020-02-05,0.0,0.0,0.0,0.0
7,2020-02-06,0.0,0.0,0.0,0.0
8,2020-02-07,0.0,0.0,0.0,0.0
9,2020-02-08,0.0,0.0,0.0,0.0
10,2020-02-09,0.0,0.0,0.0,0.0
11,2020-02-10,0.0,0.0,0.0,0.0
12,2020-02-11,0.0,0.0,0.0,0.0
13,2020-02-12,0.0,0.0,0.0,0.0
14,2020-02-13,0.0,0.0,0.0,0.0
15,2020-02-14,0.0,0.0,0.0,0.0
16,2020-02-15,0.0,0.0,0.0,0.0
17,2020-02-16,0.0,0.0,3.0,0.0
18,2020-02-17,0.0,0.0,0.0,0.0
19,2020-02-18,0.0,0.0,0.0,0.0
20,2020-02-19,0.0,0.0,0.0,0.0
21,2020-02-20,0.0,0.0,0.0,0.0
22,2020-02-21,0.0,0.0,0.0,0.0
23,2020-02-22,0.0,0.0,0.0,0.0
24,2020-02-23,0.0,0.0,0.0,0.0
25,2020-02-24,0.0,0.0,0.0,0.0
26,2020-02-25,0.0,0.0,0.0,0.0
27,2020-02-26,0.0,0.0,0.0,0.0
28,2020-02-27,0.0,0.0,0.0,0.0
29,2020-02-28,0.0,0.0,0.0,0.0
30,2020-02-29,0.0,0.0,0.0,0.0
31,2020-03-01,0.0,0.0,0.0,0.0
32,2020-03-02,2.0,0.0,0.0,0.0
33,2020-03-03,0.0,0.0,0.0,0.0
34,2020-03-04,23.0,0.0,0.0,0.0
35,2020-03-05,2.0,0.0,0.0,0.0
36,2020-03-06,1.0,0.0,0.0,0.0
37,2020-03-07,3.0,0.0,0.0,0.0
38,2020-03-08,5.0,0.0,0.0,0.0
39,2020-03-09,4.0,0.0,0.0,0.0
40,2020-03-10,13.0,0.0,1.0,0.0
41,2020-03-11,6.0,1.0,0.0,0.0
42,2020-03-12,11.0,0.0,0.0,0.0
43,2020-03-13,9.0,1.0,0.0,0.0
44,2020-03-14,20.0,0.0,0.0,0.0
45,2020-03-15,11.0,0.0,9.0,0.0
46,2020-03-16,6.0,0.0,0.0,0.0
47,2020-03-17,23.0,1.0,1.0,0.0
48,2020-03-18,14.0,0.0,0.0,0.0
49,2020-03-19,38.0,1.0,1.0,0.0
50,2020-03-20,50.0,1.0,5.0,0.0
51,2020-03-21,86.0,-1.0,3.0,0.0
52,2020-03-22,66.0,3.0,1.0,365.0
53,2020-03-23,103.0,3.0,10.0,90.0
54,2020-03-24,37.0,0.0,6.0,31.0
55,2020-03-25,121.0,2.0,3.0,116.0
56,2020-03-26,70.0,8.0,2.0,60.0
57,2020-03-27,160.0,0.0,28.0,132.0
58,2020-03-28,100.0,4.0,11.0,85.0
59,2020-03-29,37.0,3.0,11.0,23.0
60,2020-03-30,227.0,5.0,7.0,215.0
61,2020-03-31,146.0,3.0,21.0,122.0
62,2020-04-01,601.0,23.0,25.0,553.0
63,2020-04-02,545.0,14.0,43.0,488.0
64,2020-04-03,24.0,0.0,1.0,23.0
65,2020-04-04,515.0,14.0,37.0,464.0
66,2020-04-05,506.0,13.0,0.0,493.0
67,2020-04-06,1190.0,37.0,146.0,1007.0
68,2020-04-07,533.0,14.0,46.0,473.0
69,2020-04-08,605.0,28.0,85.0,492.0
70,2020-04-09,809.0,48.0,114.0,647.0
71,2020-04-10,873.0,20.0,154.0,699.0
72,2020-04-11,848.0,42.0,195.0,611.0
73,2020-04-12,759.0,43.0,111.0,605.0
74,2020-04-13,1248.0,27.0,101.0,1120.0
75,2020-04-14,1034.0,35.0,178.0,821.0
76,2020-04-15,835.0,12.0,73.0,750.0
77,2020-04-16,1108.0,43.0,336.0,729.0
78,2020-04-17,922.0,38.0,273.0,611.0
79,2020-04-18,1370.0,35.0,422.0,913.0
80,2020-04-19,1893.0,38.0,391.0,1464.0
81,2020-04-20,924.0,33.0,419.0,472.0
82,2020-04-21,1541.0,53.0,702.0,786.0
83,2020-04-22,1290.0,36.0,395.0,859.0
84,2020-04-23,1707.0,40.0,642.0,1025.0
85,2020-04-24,1453.0,59.0,486.0,908.0
86,2020-04-25,1753.0,45.0,441.0,1267.0
87,2020-04-26,1607.0,56.0,584.0,967.0
88,2020-04-27,1561.0,58.0,614.0,889.0
89,2020-04-28,1873.0,69.0,610.0,1194.0
90,2020-04-29,1738.0,71.0,690.0,977.0
91,2020-04-30,1801.0,75.0,631.0,1095.0
92,2020-05-01,2394.0,69.0,939.0,1386.0
93,2020-05-02,2442.0,100.0,812.0,1530.0
94,2020-05-03,2806.0,68.0,956.0,1782.0
95,2020-05-04,3932.0,175.0,1072.0,2685.0
96,2020-05-05,2963.0,127.0,1295.0,1541.0
97,2020-05-06,3587.0,92.0,1189.0,2306.0
98,2020-05-07,3364.0,104.0,1445.0,1815.0
99,2020-05-08,3344.0,96.0,1111.0,2137.0
100,2020-05-09,3113.0,116.0,1414.0,1583.0
101,2020-05-10,4353.0,111.0,1668.0,2574.0
102,2020-05-11,3607.0,82.0,1580.0,1945.0
103,2020-05-12,3524.0,121.0,1871.0,1532.0
104,2020-05-13,3763.0,136.0,1980.0,1647.0
105,2020-05-14,3942.0,98.0,1569.0,2275.0
106,2020-05-15,3787.0,104.0,2289.0,1394.0
107,2020-05-16,4864.0,118.0,3966.0,780.0
108,2020-05-17,5050.0,154.0,2571.0,2325.0
109,2020-05-18,4630.0,131.0,2438.0,2061.0
110,2020-05-19,6147.0,146.0,3076.0,2925.0
111,2020-05-20,5553.0,132.0,3113.0,2308.0
112,2020-05-21,6198.0,150.0,3131.0,2917.0
113,2020-05-22,6568.0,142.0,3271.0,3155.0
114,2020-05-23,6629.0,142.0,2561.0,3926.0
115,2020-05-24,7113.0,156.0,3307.0,3650.0
116,2020-05-25,6414.0,148.0,3014.0,3252.0
117,2020-05-26,5843.0,172.0,3571.0,2100.0
118,2020-05-27,7293.0,190.0,3472.0,3631.0
119,2020-05-28,7300.0,177.0,3171.0,3952.0
120,2020-05-29,8105.0,269.0,11707.0,-3871.0
121,2020-05-30,8336.0,205.0,4309.0,3822.0
122,2020-05-31,8782.0,223.0,4916.0,3643.0
123,2020-06-01,7761.0,200.0,3902.0,3659.0
124,2020-06-02,8821.0,221.0,4531.0,4069.0
125,2020-06-03,9633.0,259.0,3786.0,5588.0
126,2020-06-04,9889.0,275.0,4379.0,5235.0
127,2020-06-05,9471.0,286.0,4783.0,4402.0
128,2020-06-06,10438.0,297.0,5462.0,4679.0
129,2020-06-07,10864.0,261.0,5153.0,5450.0
130,2020-06-08,8442.0,266.0,5247.0,2929.0
131,2020-06-09,10218.0,277.0,5575.0,4366.0
132,2020-06-10,437.0,-5.0,536.0,-94.0
133,2020-06-11,20952.0,753.0,11989.0,8210.0
134,2020-06-12,0.0,0.0,0.0,0.0
135,2020-06-13,11458.0,386.0,7135.0,3937.0
136,2020-06-14,11929.0,311.0,8049.0,3569.0
137,2020-06-15,22169.0,705.0,17634.0,3830.0
138,2020-06-16,10974.0,2003.0,6922.0,2049.0
139,2020-06-17,12881.0,334.0,7390.0,5157.0
140,2020-06-18,13586.0,336.0,10386.0,2864.0
141,2020-06-19,14516.0,375.0,9120.0,5021.0
142,2020-06-20,15413.0,306.0,13925.0,1182.0
143,2020-06-21,14821.0,445.0,9440.0,4936.0
144,2020-06-22,14933.0,312.0,10994.0,3627.0
145,2020-06-23,15968.0,465.0,10495.0,5008.0
146,2020-06-24,16922.0,418.0,13012.0,3492.0
147,2020-06-25,17296.0,407.0,13940.0,2949.0
148,2020-06-26,18552.0,384.0,10244.0,7924.0
149,2020-06-27,19906.0,410.0,13832.0,5664.0
150,2020-06-28,19459.0,380.0,12010.0,7069.0
151,2020-06-29,18522.0,418.0,13099.0,5005.0
152,2020-06-30,18653.0,507.0,13157.0,4989.0
153,2020-07-01,19148.0,434.0,11881.0,6833.0
154,2020-07-02,20903.0,379.0,20032.0,492.0
155,2020-07-03,22771.0,442.0,14335.0,7994.0
156,2020-07-04,24850.0,613.0,14856.0,9381.0
157,2020-07-05,24248.0,425.0,15350.0,8473.0
158,2020-07-06,22251.0,466.0,15501.0,6284.0
159,2020-07-07,22753.0,483.0,16897.0,5373.0
160,2020-07-08,24879.0,487.0,19547.0,4845.0
161,2020-07-09,26506.0,475.0,19135.0,6896.0
162,2020-07-10,27114.0,519.0,19873.0,6722.0
163,2020-07-11,28606.0,550.0,19232.0,8824.0
164,2020-07-12,28732.0,501.0,18853.0,9378.0
165,2020-07-13,28498.0,553.0,17989.0,9956.0
166,2020-07-14,29429.0,582.0,20572.0,8275.0
167,2020-07-15,32676.0,605.0,20736.0,11335.0
168,2020-07-16,34975.0,688.0,22989.0,11298.0
169,2020-07-17,35252.0,671.0,17994.0,16587.0
170,2020-07-18,38697.0,543.0,23672.0,14482.0
171,2020-07-19,40425.0,681.0,22664.0,17080.0
172,2020-07-20,37132.0,585.0,24491.0,12056.0
173,2020-07-21,37740.0,650.0,28472.0,8618.0
174,2020-07-22,45720.0,1129.0,29557.0,15034.0
175,2020-07-23,49310.0,740.0,34602.0,13968.0
176,2020-07-24,48916.0,757.0,32223.0,15936.0
177,2020-07-25,48611.0,702.0,36141.0,11768.0
178,2020-07-26,49981.0,711.0,31995.0,17275.0
179,2020-07-27,44457.0,637.0,33598.0,10222.0
180,2020-07-28,3083.0,17.0,1577.0,1489.0
181,2020-07-29,98807.0,1530.0,66992.0,30285.0
182,2020-07-30,52783.0,763.0,35613.0,16407.0
183,2020-07-31,61242.0,793.0,39026.0,21423.0
184,2020-08-01,54735.0,853.0,51255.0,2627.0
185,2020-08-02,52972.0,771.0,40574.0,11627.0
186,2020-08-03,52050.0,803.0,44306.0,6941.0
187,2020-08-04,52509.0,857.0,51706.0,-54.0
188,2020-08-05,56282.0,904.0,46121.0,9257.0
189,2020-08-06,62538.0,886.0,49769.0,11883.0
190,2020-08-07,61537.0,933.0,48900.0,11704.0
191,2020-08-08,64399.0,861.0,53879.0,9659.0
192,2020-08-09,62064.0,1007.0,54859.0,6198.0
193,2020-08-10,53601.0,871.0,47746.0,4984.0
194,2020-08-11,60963.0,834.0,56110.0,4019.0
195,2020-08-12,66999.0,942.0,56383.0,9674.0
196,2020-08-13,64553.0,1007.0,55573.0,7973.0
197,2020-08-14,64732.0,996.0,57381.0,6625.0
198,2020-08-15,64030.0,944.0,53322.0,9224.0
199,2020-08-16,57711.0,941.0,57584.0,-544.0
200,2020-08-17,55018.0,876.0,57829.0,-3734.0
201,2020-08-18,64572.0,1091.0,60145.0,3348.0
202,2020-08-19,69672.0,978.0,58848.0,9881.0
203,2020-08-20,68900.0,983.0,62282.0,5635.0
204,2020-08-21,69876.0,945.0,63631.0,5300.0
205,2020-08-22,69239.0,912.0,57989.0,10338.0
206,2020-08-23,61408.0,836.0,57469.0,3103.0
207,2020-08-24,60975.0,848.0,66550.0,-6423.0
208,2020-08-25,57224.0,967.0,53754.0,2919.0
209,2020-08-26,85687.0,1115.0,65432.0,18724.0
210,2020-08-27,77266.0,1057.0,60177.0,16032.0
211,2020-08-28,76472.0,1021.0,65050.0,10401.0
212,2020-08-29,78761.0,948.0,64935.0,12878.0
213,2020-08-30,78512.0,971.0,60868.0,16673.0
214,2020-08-31,69921.0,819.0,65081.0,4021.0
215,2020-09-01,78357.0,1045.0,62026.0,15286.0
216,2020-09-02,83883.0,1043.0,68584.0,14256.0
217,2020-09-03,83341.0,1096.0,66659.0,15586.0
218,2020-09-04,86432.0,1089.0,70072.0,15271.0
219,2020-09-05,90632.0,1065.0,73642.0,15925.0
220,2020-09-06,90802.0,1016.0,69564.0,20222.0
221,2020-09-07,75809.0,1133.0,73521.0,1155.0
222,2020-09-08,89706.0,1115.0,74894.0,13697.0
223,2020-09-09,95735.0,1172.0,72939.0,21624.0
224,2020-09-10,96551.0,1209.0,70880.0,24462.0
225,2020-09-11,97570.0,1201.0,81533.0,14836.0
226,2020-09-12,94372.0,1114.0,78399.0,14859.0
227,2020-09-13,92071.0,1136.0,77512.0,13423.0
228,2020-09-14,0.0,0.0,0.0,0.0
229,2020-09-15,173932.0,2344.0,162253.0,9335.0
230,2020-09-16,97894.0,1132.0,82719.0,14043.0
231,2020-09-17,96424.0,1174.0,87472.0,7778.0
232,2020-09-18,93337.0,1247.0,95880.0,-3790.0
233,2020-09-19,92605.0,1133.0,94612.0,-3140.0
234,2020-09-20,86961.0,1130.0,93356.0,-7525.0
235,2020-09-21,75083.0,1053.0,101468.0,-27438.0
236,2020-09-22,83347.0,1085.0,89746.0,-7484.0
237,2020-09-23,86508.0,1129.0,87374.0,-1995.0
