date,Total_Doses
2021-01-15,
2021-01-16,
2021-01-17,33120.0
2021-01-18,229748.0
2021-01-19,220786.0
2021-01-20,131649.0
2021-01-21,237050.0
2021-01-22,347058.0
2021-01-23,191609.0
2021-01-24,33303.0
2021-01-25,408305.0
2021-01-26,5671.0
2021-01-27,326499.0
2021-01-28,572074.0
2021-01-29,571974.0
2021-01-30,244307.0
2021-01-31,14509.0
2021-02-01,191313.0
2021-02-02,188762.0
2021-02-03,310634.0
2021-02-04,509893.0
2021-02-05,457404.0
2021-02-06,358473.0
2021-02-07,37040.0
2021-02-08,446646.0
2021-02-09,352553.0
2021-02-10,405553.0
2021-02-11,487896.0
2021-02-12,462637.0
2021-02-13,84807.0
2021-02-15,464317.0
2021-02-16,340570.0
2021-02-17,329416.0
2021-02-18,659766.0
2021-02-19,603419.0
2021-02-20,388381.0
2021-02-21,246850.0
2021-02-22,338921.0
2021-02-23,483298.0
2021-02-24,459241.0
2021-02-25,700414.0
2021-02-26,689893.0
2021-02-27,485607.0
2021-02-28,58719.0
2021-03-01,552870.0
2021-03-02,766613.0
2021-03-03,995299.0
2021-03-04,1389455.0
2021-03-05,1492201.0
2021-03-06,1424640.0
2021-03-07,66666.0
2021-03-08,2019723.0
2021-03-09,1359173.0
2021-03-10,1317105.0
2021-03-11,479909.0
2021-03-12,2053537.0
2021-03-13,1519952.0
2021-03-14,169629.0
2021-03-15,3039394.0
2021-03-16,2117104.0
2021-03-17,2078719.0
2021-03-18,2196562.0
2021-03-19,2723575.0
2021-03-20,2540449.0
2021-03-21,462157.0
2021-03-22,3428596.0
2021-03-23,2346692.0
2021-03-24,2304423.0
2021-03-25,2358731.0
2021-03-26,2605333.0
2021-03-27,2160009.0
2021-03-28,260653.0
2021-03-29,582919.0
2021-03-30,1940999.0
2021-03-31,2063543.0
2021-04-01,3671242.0
2021-04-02,4265157.0
2021-04-03,2925356.0
2021-04-04,3125512.0
2021-04-05,4005763.0
2021-04-06,3966548.0
2021-04-07,3121199.0
2021-04-08,4135589.0
2021-04-09,3740898.0
2021-04-10,3519987.0
2021-04-11,2933418.0
2021-04-12,4004520.0
2021-04-13,2646493.0
2021-04-14,3313660.0
2021-04-15,2730271.0
2021-04-16,2714132.0
2021-04-17,2684949.0
2021-04-18,1229976.0
2021-04-19,3276547.0
2021-04-21,2516992.0
2021-04-22,3108503.0
2021-04-25,6430565.0
2021-04-26,3339774.0
2021-04-27,2354286.0
2021-04-28,2174159.0
2021-04-29,2215380.0
2021-04-30,2729335.0
2021-05-01,1628218.0
2021-05-02,585186.0
2021-05-03,1870625.0
2021-05-04,1668616.0
2021-05-05,2180486.0
