Date,Confirmed,Deaths,Recovered
2020-04-12,555271,22367,67139.0
2020-04-13,580526,23909,78924.0
2020-04-14,607220,26236,85408.0
2020-04-15,636538,28710,91501.0
2020-04-16,667773,33317,96735.0
2020-04-17,699948,37182,102639.0
2020-04-18,732511,39045,116230.0
2020-04-19,759150,41093,123967.0
2020-04-20,784339,42601,126767.0
2020-04-21,812350,44889,133321.0
2020-04-22,841392,47083,138885.0
2020-04-23,869377,50373,143750.0
2020-04-24,905402,52377,180548.0
2020-04-25,938961,54211,190817.0
2020-04-26,966314,55409,197989.0
2020-04-27,988946,56804,206169.0
2020-04-28,1013567,58899,255235.0
2020-04-29,1040857,61380,268204.0
2020-04-30,1070357,63277,153947.0
2020-05-01,1104674,65243,164015.0
2020-05-02,1134035,66832,175382.0
2020-05-03,1159489,68222,180152.0
2020-05-04,1181552,69480,187180.0
2020-05-05,1205504,71531,189791.0
2020-05-06,1229580,73743,189910.0
2020-05-07,1258202,75961,195036.0
2020-05-08,1285668,77499,198993.0
2020-05-09,1310852,79097,212534.0
2020-05-10,1330731,79924,216169.0
2020-05-11,1348820,81106,232733.0
2020-05-12,1370970,82766,230287.0
2020-05-13,1391859,84471,243430.0
2020-05-14,1418586,86251,246414.0
2020-05-15,1443777,87873,250747.0
2020-05-16,1468912,89082,268376.0
2020-05-17,1488416,89955,272265.0
2020-05-18,1509915,90786,283178.0
2020-05-19,1530026,92253,289392.0
2020-05-20,1553141,93749,294312.0
2020-05-21,1578657,94980,298418.0
2020-05-22,1602536,96215,350135.0
2020-05-23,1623752,97286,361239.0
2020-05-24,1644757,97933,366736.0
2020-05-25,1663786,98472,379157.0
2020-05-26,1681656,99146,384902.0
2020-05-27,1700904,100622,391508.0
2020-05-28,1722839,101727,399991.0
2020-05-29,1747540,102883,406446.0
2020-05-30,1772197,103851,416461.0
2020-05-31,1792225,104490,444758.0
2020-06-01,1812570,105250,458231.0
2020-06-02,1833603,106203,463868.0
2020-06-03,1853457,107203,479258.0
2020-06-04,1874904,108226,485002.0
2020-06-05,1904781,109345,491706.0
2020-06-06,1927660,110043,500849.0
2020-06-07,1946423,110503,506367.0
2020-06-08,1962958,110974,518522.0
2020-06-09,1980954,111930,524855.0
2020-06-10,2002471,112833,533504.0
2020-06-11,2024540,113680,540292.0
2020-06-12,2050710,114523,547386.0
2020-06-13,2076266,115250,556606.0
2020-06-14,2095985,115580,561816.0
2020-06-15,2114527,115976,576334.0
2020-06-16,2138455,116764,583503.0
2020-06-17,2165695,117523,592191.0
2020-06-18,2193644,118220,599115.0
2020-06-19,2225550,118877,606715.0
2020-06-20,2258734,119452,617460.0
2020-06-21,2285124,119734,622133.0
2020-06-22,2316453,120145,640198.0
2020-06-23,2352807,120865,647548.0
2020-06-24,2389366,121614,656161.0
2020-06-25,2429877,124046,663562.0
2020-06-26,2476036,124681,670809.0
2020-06-27,2518215,125177,679308.0
2020-06-28,2560327,125484,685164.0
2020-06-29,2600078,125810,705203.0
2020-06-30,2647349,127028,720631.0
2020-07-01,2698361,127675,729994.0
2020-07-02,2753206,128396,781970.0
2020-07-03,2807597,129080,790404.0
2020-07-04,2856107,129357,894325.0
2020-07-05,2905673,129660,906763.0
2020-07-06,2951706,130011,924148.0
2020-07-07,3010615,131133,936476.0
2020-07-08,3069888,131929,953462.0
2020-07-09,3130605,132946,969111.0
2020-07-10,3198481,133750,983185.0
2020-07-11,3259871,134495,995576.0
2020-07-12,3320750,134934,1006326.0
2020-07-13,3378096,135356,1031939.0
2020-07-14,3445037,136230,1049098.0
2020-07-15,3512946,137170,1075882.0
2020-07-16,3588861,138131,1090645.0
2020-07-17,3660993,139020,1107204.0
2020-07-18,3725793,139893,1122720.0
2020-07-19,3787937,140331,1131121.0
2020-07-20,3847586,140717,1160087.0
2020-07-21,3913640,141795,1182018.0
2020-07-22,3983791,142995,1210849.0
2020-07-23,4051807,144106,1233269.0
2020-07-24,4126826,145303,1261624.0
2020-07-25,4193149,146294,1279414.0
2020-07-26,4250676,146829,1297863.0
2020-07-27,4306745,147926,1325804.0
2020-07-28,4370760,149080,1355363.0
2020-07-29,4438836,150488,1389425.0
2020-07-30,4507287,151906,1414155.0
2020-07-31,4575710,153119,1438160.0
2020-08-01,4635883,154262,1461885.0
2020-08-02,4682294,154727,1468689.0
2020-08-03,4728372,155292,1513446.0
2020-08-04,4783756,156572,1528979.0
2020-08-05,4839000,157993,1577851.0
2020-08-06,4896377,159776,1598624.0
2020-08-07,4957747,161074,1623870.0
2020-08-08,5013798,162153,1643118.0
2020-08-09,5063022,162725,1656864.0
2020-08-10,5108284,163235,1670755.0
2020-08-11,5161174,164341,1714960.0
2020-08-12,5213496,165844,1753760.0
2020-08-13,5264935,166890,1774648.0
2020-08-14,5330015,168200,1796326.0
2020-08-15,5380412,169246,1818527.0
2020-08-16,5421276,169850,1833067.0
2020-08-17,5456365,170314,1865580.0
2020-08-18,5499391,171532,1898159.0
2020-08-19,5542982,172838,1925049.0
2020-08-20,5587513,173944,1947035.0
2020-08-21,5637009,175048,1965056.0
2020-08-22,5682007,176036,1985484.0
2020-08-23,5716810,176526,1997761.0
2020-08-24,5752144,176970,2020774.0
2020-08-25,5792930,178205,2053699.0
2020-08-26,5835291,179376,2084465.0
2020-08-27,5881538,180503,2101326.0
2020-08-28,5928347,181445,2118367.0
2020-08-29,5973899,182428,2140614.0
2020-08-30,6008843,182871,2153939.0
2020-08-31,6043633,183319,2184825.0
2020-09-01,6087413,184380,2202663.0
2020-09-02,6127158,185436,2231757.0
2020-09-03,6164179,186465,2266957.0
2020-09-04,6215268,187442,2283454.0
2020-09-05,6259239,188275,2302187.0
2020-09-06,6290553,188709,2315995.0
2020-09-07,6315070,189020,2333551.0
2020-09-08,6340495,189483,2359111.0
2020-09-09,6375687,190611,2387479.0
