date,Total_Doses
2020-12-20,556208.0
2020-12-21,614117.0
2020-12-22,811071.0
2020-12-23,1008025.0
2020-12-24,1476305.0
2020-12-25,1710445.0
2020-12-26,1944585.0
2020-12-27,2035864.0
2020-12-28,2127143.0
2020-12-29,2460865.5
2020-12-30,2794588.0
2020-12-31,3510172.0
2021-01-01,3867964.0
2021-01-02,4225756.0
2021-01-03,4394508.0
2021-01-04,4563260.0
2021-01-05,4836469.0
2021-01-06,5306797.0
2021-01-07,5919418.0
2021-01-08,6688231.0
2021-01-09,7837776.5
2021-01-10,8412549.25
2021-01-11,8987322.0
2021-01-12,19606050.0
2021-01-13,21265377.0
2021-01-14,23475490.0
2021-01-15,25943323.0
2021-01-16,29551970.0
2021-01-17,31356293.5
2021-01-18,32258455.25
2021-01-19,33160617.0
2021-01-20,34958794.0
2021-01-21,37179524.0
2021-01-22,40040721.0
2021-01-23,43510965.0
2021-01-24,44716488.0
2021-01-25,48179927.0
2021-01-26,49804772.0
2021-01-27,52207062.0
2021-01-28,55486431.0
2021-01-29,59083588.0
2021-01-30,62661235.0
2021-01-31,65930316.0
2021-02-01,68193583.0
2021-02-02,69413180.0
2021-02-03,71778915.0
2021-02-04,74617447.0
2021-02-05,78058057.0
2021-02-06,82602859.0
2021-02-07,87155199.0
2021-02-08,89673242.0
2021-02-09,91319129.0
2021-02-10,94607964.0
2021-02-11,98017595.0
2021-02-12,102214791.0
2021-02-13,106834598.0
2021-02-14,111470270.0
2021-02-15,113876520.0
2021-02-16,116282770.0
2021-02-17,118505535.0
2021-02-18,121527093.0
2021-02-19,128140519.0
2021-02-20,130028628.0
2021-02-21,134009823.5
2021-02-22,137991019.0
2021-02-23,142308714.5
2021-02-24,144467562.25
2021-02-25,146626410.0
2021-02-26,151190581.0
2021-02-27,156168122.0
2021-02-28,161204716.0
2021-03-01,164644520.0
2021-03-02,168158060.0
2021-03-03,172091102.0
2021-03-04,176290956.0
2021-03-05,181305751.0
2021-03-06,187265421.0
2021-03-07,192285341.0
2021-03-08,195848093.0
2021-03-09,199160110.0
2021-03-10,203312311.0
2021-03-11,207109510.0
2021-03-12,213058802.0
2021-03-13,222373121.0
2021-03-14,226547859.0
2021-03-15,230728466.0
2021-03-16,234079842.0
2021-03-17,238780518.0
2021-03-18,244297330.0
2021-03-19,249582189.0
2021-03-20,255952591.0
2021-03-21,262157192.0
2021-03-22,266288288.0
2021-03-23,270301257.5
2021-03-24,274314227.0
2021-03-25,280063437.0
2021-03-26,286961402.0
2021-03-27,294070895.0
2021-03-28,300762295.0
2021-03-29,305530367.0
2021-03-30,309121935.0
2021-03-31,314557736.0
2021-04-01,321381014.0
2021-04-02,329428906.0
2021-04-03,337697137.0
2021-04-04,344534065.0
2021-04-05,346704040.0
2021-04-06,351677392.0
2021-04-07,357522867.0
2021-04-08,364404792.0
2021-04-09,372404496.0
2021-04-10,381780588.0
2021-04-11,389035360.0
2021-04-12,393462784.0
2021-04-13,399071883.5
2021-04-14,404680983.0
2021-04-15,411808985.0
2021-04-16,418743896.0
2021-04-17,425993629.0
2021-04-18,433139047.0
2021-04-19,437531805.0
2021-04-20,441147346.0
2021-04-21,446329812.0
2021-04-22,452385670.0
2021-04-23,459197867.0
2021-04-24,465904692.0
2021-04-25,472016007.0
2021-04-26,476247975.0
2021-04-27,479529137.0
2021-04-28,484040883.0
2021-04-29,489537756.0
2021-04-30,495184849.0
2021-05-01,501832496.0
2021-05-02,506139818.0
2021-05-03,508546833.0
2021-05-04,510500341.0
2021-05-05,514130745.0
2021-05-06,519019031.0
2021-05-07,525833299.0
2021-05-08,529097768.0
2021-05-09,533872269.0
2021-05-10,537635295.0
2021-05-11,540708143.0
2021-05-12,543828379.0
2021-05-13,547703420.0
2021-05-14,550206409.0
2021-05-15,555016821.0
2021-05-16,559230313.0
2021-05-17,562202253.0
2021-05-18,564445539.0
2021-05-19,567880333.0
2021-05-20,572158407.0
2021-05-21,576486235.0
2021-05-22,576730361.5
2021-05-23,576974488.0
2021-05-24,578564046.0
2021-05-25,588146813.0
2021-05-26,591047628.0
2021-05-27,596198302.0
2021-05-28,598969259.0
2021-05-29,602207780.0
2021-05-30,604666828.0
2021-05-31,606142834.0
2021-06-01,607618840.0
2021-06-02,608636225.0
2021-06-03,610274444.0
2021-06-04,613090988.0
2021-06-05,616552033.0
2021-06-06,620013078.0
2021-06-07,622782869.0
2021-06-08,624929490.0
2021-06-09,626611258.0
2021-06-10,628501824.0
2021-06-11,628694594.5
2021-06-12,628790979.75
2021-06-13,628839172.375
2021-06-14,628887365.0
2021-06-15,631303263.0
2021-06-16,633314966.0
2021-06-17,637414372.0
2021-06-18,639563864.0
2021-06-19,641685105.0
2021-06-20,643358513.0
2021-06-21,644578724.0
2021-06-22,645819075.0
2021-06-23,647107272.0
2021-06-24,648729204.0
2021-06-25,659768925.0
2021-06-26,661633477.0
2021-06-27,664049390.0
2021-06-28,666272326.0
2021-06-29,667790635.0
2021-06-30,670567209.0
2021-07-01,673855029.0
2021-07-02,675184975.0
2021-07-03,677521708.0
2021-07-04,678824343.0
2021-07-05,679248477.6875
2021-07-06,679460545.03125
2021-07-07,679566578.703125
2021-07-08,679619595.5390625
2021-07-09,679646103.9570312
2021-07-10,679659358.1660156
2021-07-11,679665985.2705078
2021-07-12,679669298.8227539
2021-07-13,679670955.598877
2021-07-14,679671783.9869385
2021-07-15,679672198.1809692
2021-07-16,679672405.2779846
2021-07-17,679672612.375
2021-07-18,680170884.9375
2021-07-19,680669157.5
2021-07-20,685867029.0
2021-07-21,687124244.0
2021-07-22,688457756.0
2021-07-23,697590782.0
2021-07-24,698954633.0
2021-07-25,700527657.0
2021-07-26,701314395.0
2021-07-27,702107047.0
2021-07-28,703623151.0
2021-07-29,705060845.0
2021-07-30,706787917.0
2021-07-31,708227436.0
2021-08-01,709874515.0
2021-08-02,710813468.0
2021-08-03,711721402.0
2021-08-04,713185505.0
2021-08-05,714929685.0
2021-08-06,716587963.0
2021-08-07,718281278.0
2021-08-08,719843612.0
2021-08-09,720189851.5
2021-08-10,720536091.0
2021-08-11,721858369.0
2021-08-12,725676500.0
2021-08-13,727530633.0
2021-08-14,727640803.5
2021-08-15,727750974.0
2021-08-16,730781809.0
2021-08-17,733812644.0
2021-08-18,735237507.0
2021-08-19,737300431.0
2021-08-20,739341628.0
2021-08-21,741460274.0
2021-08-22,743423328.0
2021-08-23,744010033.5
2021-08-24,744303386.25
2021-08-25,744450062.625
2021-08-26,744523400.8125
2021-08-27,744560069.90625
2021-08-28,744578404.453125
2021-08-29,744587571.7265625
2021-08-30,744592155.3632812
2021-08-31,744594447.1816406
2021-09-01,744595593.0908203
2021-09-02,744596166.0454102
2021-09-03,744596452.5227051
2021-09-04,744596595.7613525
2021-09-05,744596667.3806763
2021-09-06,744596703.1903381
2021-09-07,744596721.0951691
2021-09-08,744596730.0475845
2021-09-09,744596739.0
2021-09-10,746453347.0
2021-09-11,748233422.0
2021-09-12,751727275.5
2021-09-13,753474202.25
2021-09-14,754347665.625
2021-09-15,754784397.3125
2021-09-16,755221129.0
2021-09-17,755701109.5
2021-09-18,756181090.0
2021-09-19,759385038.25
2021-09-20,760987012.375
2021-09-21,761787999.4375
2021-09-22,762188492.96875
2021-09-23,762388739.734375
2021-09-24,762488863.1171875
2021-09-25,762538924.8085938
2021-09-26,762563955.6542969
2021-09-27,762576471.0771484
2021-09-28,762588986.5
2021-09-29,780028057.0
2021-09-30,781848591.0
2021-10-01,782501891.0
2021-10-02,782828541.0
2021-10-03,782991866.0
2021-10-04,783073528.5
2021-10-05,783114359.75
2021-10-06,783134775.375
2021-10-07,783155191.0
2021-10-08,788128517.0
2021-10-09,790379308.0
2021-10-10,792091896.5
2021-10-11,792948190.75
2021-10-12,793804485.0
2021-10-13,795372823.0
2021-10-14,797599633.0
2021-10-15,799866346.0
2021-10-16,801624789.0
2021-10-17,803273394.0
2021-10-18,804325667.0
2021-10-19,805621054.0
2021-10-20,807130911.0
2021-10-21,809780516.0
2021-10-22,810903177.0
2021-10-23,812689991.0
2021-10-24,814263984.0
2021-10-25,817101829.0
2021-10-26,819939674.0
2021-10-27,821863680.0
2021-10-28,822825683.0
2021-10-29,823787686.0
2021-10-30,827010355.0
2021-10-31,829738375.0
2021-11-01,831557233.0
2021-11-02,833404025.0
2021-11-03,844592436.0
2021-11-04,847484955.0
2021-11-05,850013225.0
2021-11-06,851232038.5
2021-11-07,851841445.25
2021-11-08,852146148.625
2021-11-09,852298500.3125
2021-11-10,852374676.15625
2021-11-11,852412764.078125
2021-11-12,852431808.0390625
2021-11-13,852441330.0195312
2021-11-14,852450852.0
2021-11-15,855239915.0
2021-11-16,857883489.0
2021-11-17,860622437.0
2021-11-18,879297239.0
2021-11-19,883063720.0
2021-11-20,891466958.0
2021-11-21,895668577.0
2021-11-22,897769386.5
2021-11-23,899870196.0
2021-11-24,904190002.5
2021-11-25,906349905.75
2021-11-26,907429857.375
2021-11-27,907969833.1875
2021-11-28,908239821.09375
2021-11-29,908374815.046875
2021-11-30,908442312.0234375
2021-12-01,908476060.5117188
2021-12-02,908509809.0
2021-12-03,912238311.0
2021-12-04,928995265.0
2021-12-05,932591248.0
2021-12-06,935268834.0
2021-12-07,938300828.0
2021-12-08,942080272.5
2021-12-09,945859717.0
2021-12-10,951880767.0
2021-12-11,956097191.0
2021-12-12,959029612.0
2021-12-13,964809867.5
2021-12-14,967699995.25
2021-12-15,969145059.125
2021-12-16,970590123.0
2021-12-17,974181527.0
2021-12-18,979714743.0
2021-12-19,982481351.0
