iso_code,entity,year,population,source
AFG,Afghanistan,2021,39835428,https://population.un.org/wpp/Download/Standard/CSV/
OWID_AFR,Africa,2021,1373486472,https://population.un.org/wpp/Download/Standard/CSV/
ALB,Albania,2021,2872934,https://population.un.org/wpp/Download/Standard/CSV/
DZA,Algeria,2021,44616626,https://population.un.org/wpp/Download/Standard/CSV/
ASM,American Samoa,2021,55103,https://population.un.org/wpp/Download/Standard/CSV/
AND,Andorra,2021,77354,https://population.un.org/wpp/Download/Standard/CSV/
AGO,Angola,2021,33933611,https://population.un.org/wpp/Download/Standard/CSV/
AIA,Anguilla,2021,15125,https://population.un.org/wpp/Download/Standard/CSV/
ATG,Antigua and Barbuda,2021,98728,https://population.un.org/wpp/Download/Standard/CSV/
ARG,Argentina,2021,45605823,https://population.un.org/wpp/Download/Standard/CSV/
ARM,Armenia,2021,2968128,https://population.un.org/wpp/Download/Standard/CSV/
ABW,Aruba,2021,107195,https://population.un.org/wpp/Download/Standard/CSV/
OWID_ASI,Asia,2021,4678444992,https://population.un.org/wpp/Download/Standard/CSV/
AUS,Australia,2021,25788217,https://population.un.org/wpp/Download/Standard/CSV/
AUT,Austria,2021,9043072,https://population.un.org/wpp/Download/Standard/CSV/
AZE,Azerbaijan,2021,10223344,https://population.un.org/wpp/Download/Standard/CSV/
BHS,Bahamas,2021,396914,https://population.un.org/wpp/Download/Standard/CSV/
BHR,Bahrain,2021,1748295,https://population.un.org/wpp/Download/Standard/CSV/
BGD,Bangladesh,2021,166303494,https://population.un.org/wpp/Download/Standard/CSV/
BRB,Barbados,2021,287708,https://population.un.org/wpp/Download/Standard/CSV/
BLR,Belarus,2021,9442867,https://population.un.org/wpp/Download/Standard/CSV/
BEL,Belgium,2021,11632334,https://population.un.org/wpp/Download/Standard/CSV/
BLZ,Belize,2021,404915,https://population.un.org/wpp/Download/Standard/CSV/
BEN,Benin,2021,12451031,https://population.un.org/wpp/Download/Standard/CSV/
BMU,Bermuda,2021,62092,https://population.un.org/wpp/Download/Standard/CSV/
BTN,Bhutan,2021,779900,https://population.un.org/wpp/Download/Standard/CSV/
BOL,Bolivia,2021,11832936,https://population.un.org/wpp/Download/Standard/CSV/
BES,Bonaire Sint Eustatius and Saba,2021,26445,https://population.un.org/wpp/Download/Standard/CSV/
BIH,Bosnia and Herzegovina,2021,3263459,https://population.un.org/wpp/Download/Standard/CSV/
BWA,Botswana,2021,2397240,https://population.un.org/wpp/Download/Standard/CSV/
BRA,Brazil,2021,213993441,https://population.un.org/wpp/Download/Standard/CSV/
VGB,British Virgin Islands,2021,30423,https://population.un.org/wpp/Download/Standard/CSV/
BRN,Brunei,2021,441532,https://population.un.org/wpp/Download/Standard/CSV/
BGR,Bulgaria,2021,6896655,https://population.un.org/wpp/Download/Standard/CSV/
BFA,Burkina Faso,2021,21497097,https://population.un.org/wpp/Download/Standard/CSV/
BDI,Burundi,2021,12255429,https://population.un.org/wpp/Download/Standard/CSV/
