Best: 0.064688 using {'epochs': 10, 'lstm_nparams': 15, 'n_steps': 15}
0.060606 (0.111203) with: {'epochs': 10, 'lstm_nparams': 15, 'n_steps': 3}
0.058586 (0.112189) with: {'epochs': 10, 'lstm_nparams': 15, 'n_steps': 6}
0.064688 (0.109261) with: {'epochs': 10, 'lstm_nparams': 15, 'n_steps': 15}
0.060606 (0.111203) with: {'epochs': 10, 'lstm_nparams': 50, 'n_steps': 3}
0.060606 (0.111203) with: {'epochs': 10, 'lstm_nparams': 50, 'n_steps': 6}
0.060606 (0.111203) with: {'epochs': 10, 'lstm_nparams': 50, 'n_steps': 15}
0.060606 (0.111203) with: {'epochs': 10, 'lstm_nparams': 100, 'n_steps': 3}
0.060606 (0.111203) with: {'epochs': 10, 'lstm_nparams': 100, 'n_steps': 6}
0.060606 (0.111203) with: {'epochs': 10, 'lstm_nparams': 100, 'n_steps': 15}
0.060606 (0.111203) with: {'epochs': 10, 'lstm_nparams': 150, 'n_steps': 3}
0.060606 (0.111203) with: {'epochs': 10, 'lstm_nparams': 150, 'n_steps': 6}
0.060606 (0.111203) with: {'epochs': 10, 'lstm_nparams': 150, 'n_steps': 15}
0.060606 (0.111203) with: {'epochs': 100, 'lstm_nparams': 15, 'n_steps': 3}
0.060606 (0.111203) with: {'epochs': 100, 'lstm_nparams': 15, 'n_steps': 6}
0.060606 (0.111203) with: {'epochs': 100, 'lstm_nparams': 15, 'n_steps': 15}
0.060606 (0.111203) with: {'epochs': 100, 'lstm_nparams': 50, 'n_steps': 3}
0.060606 (0.111203) with: {'epochs': 100, 'lstm_nparams': 50, 'n_steps': 6}
0.060606 (0.111203) with: {'epochs': 100, 'lstm_nparams': 50, 'n_steps': 15}
0.060606 (0.111203) with: {'epochs': 100, 'lstm_nparams': 100, 'n_steps': 3}
0.060606 (0.111203) with: {'epochs': 100, 'lstm_nparams': 100, 'n_steps': 6}
0.060606 (0.111203) with: {'epochs': 100, 'lstm_nparams': 100, 'n_steps': 15}
0.060606 (0.111203) with: {'epochs': 100, 'lstm_nparams': 150, 'n_steps': 3}
0.060606 (0.111203) with: {'epochs': 100, 'lstm_nparams': 150, 'n_steps': 6}
0.060606 (0.111203) with: {'epochs': 100, 'lstm_nparams': 150, 'n_steps': 15}
0.060606 (0.111203) with: {'epochs': 300, 'lstm_nparams': 15, 'n_steps': 3}
0.004040 (0.004948) with: {'epochs': 300, 'lstm_nparams': 15, 'n_steps': 6}
0.004040 (0.004948) with: {'epochs': 300, 'lstm_nparams': 15, 'n_steps': 15}
0.004040 (0.004948) with: {'epochs': 300, 'lstm_nparams': 50, 'n_steps': 3}
0.004040 (0.004948) with: {'epochs': 300, 'lstm_nparams': 50, 'n_steps': 6}
0.004040 (0.004948) with: {'epochs': 300, 'lstm_nparams': 50, 'n_steps': 15}
0.004040 (0.004948) with: {'epochs': 300, 'lstm_nparams': 100, 'n_steps': 3}
0.060606 (0.111203) with: {'epochs': 300, 'lstm_nparams': 100, 'n_steps': 6}
0.004040 (0.004948) with: {'epochs': 300, 'lstm_nparams': 100, 'n_steps': 15}
0.004040 (0.004948) with: {'epochs': 300, 'lstm_nparams': 150, 'n_steps': 3}
0.060606 (0.111203) with: {'epochs': 300, 'lstm_nparams': 150, 'n_steps': 6}
0.004040 (0.004948) with: {'epochs': 300, 'lstm_nparams': 150, 'n_steps': 15}
