Best: -0.081375 using {'epochs': 300, 'lstm_nparams': 150, 'n_steps': 3}
-0.417426 (0.686351) with: {'epochs': 10, 'lstm_nparams': 15, 'n_steps': 3}
-0.233127 (0.357271) with: {'epochs': 10, 'lstm_nparams': 15, 'n_steps': 6}
-0.183899 (0.239844) with: {'epochs': 10, 'lstm_nparams': 15, 'n_steps': 15}
-0.131183 (0.150989) with: {'epochs': 10, 'lstm_nparams': 50, 'n_steps': 3}
-0.141215 (0.174819) with: {'epochs': 10, 'lstm_nparams': 50, 'n_steps': 6}
-0.115925 (0.133082) with: {'epochs': 10, 'lstm_nparams': 50, 'n_steps': 15}
-0.109341 (0.114002) with: {'epochs': 10, 'lstm_nparams': 100, 'n_steps': 3}
-0.115136 (0.130666) with: {'epochs': 10, 'lstm_nparams': 100, 'n_steps': 6}
-0.105505 (0.111368) with: {'epochs': 10, 'lstm_nparams': 100, 'n_steps': 15}
-0.096098 (0.102387) with: {'epochs': 10, 'lstm_nparams': 150, 'n_steps': 3}
-0.100954 (0.097035) with: {'epochs': 10, 'lstm_nparams': 150, 'n_steps': 6}
-0.106547 (0.109328) with: {'epochs': 10, 'lstm_nparams': 150, 'n_steps': 15}
-0.185645 (0.279237) with: {'epochs': 100, 'lstm_nparams': 15, 'n_steps': 3}
-0.150559 (0.204717) with: {'epochs': 100, 'lstm_nparams': 15, 'n_steps': 6}
-0.092507 (0.086437) with: {'epochs': 100, 'lstm_nparams': 15, 'n_steps': 15}
-0.136855 (0.169459) with: {'epochs': 100, 'lstm_nparams': 50, 'n_steps': 3}
-0.154184 (0.212599) with: {'epochs': 100, 'lstm_nparams': 50, 'n_steps': 6}
-0.167769 (0.237234) with: {'epochs': 100, 'lstm_nparams': 50, 'n_steps': 15}
-0.121534 (0.139926) with: {'epochs': 100, 'lstm_nparams': 100, 'n_steps': 3}
-0.194291 (0.291020) with: {'epochs': 100, 'lstm_nparams': 100, 'n_steps': 6}
-0.138510 (0.179590) with: {'epochs': 100, 'lstm_nparams': 100, 'n_steps': 15}
-0.124406 (0.146976) with: {'epochs': 100, 'lstm_nparams': 150, 'n_steps': 3}
-0.138273 (0.174662) with: {'epochs': 100, 'lstm_nparams': 150, 'n_steps': 6}
-0.192187 (0.288604) with: {'epochs': 100, 'lstm_nparams': 150, 'n_steps': 15}
-0.177417 (0.254855) with: {'epochs': 300, 'lstm_nparams': 15, 'n_steps': 3}
-0.109308 (0.123042) with: {'epochs': 300, 'lstm_nparams': 15, 'n_steps': 6}
-0.110920 (0.125995) with: {'epochs': 300, 'lstm_nparams': 15, 'n_steps': 15}
-0.163305 (0.228487) with: {'epochs': 300, 'lstm_nparams': 50, 'n_steps': 3}
-0.085052 (0.068205) with: {'epochs': 300, 'lstm_nparams': 50, 'n_steps': 6}
-0.088660 (0.083517) with: {'epochs': 300, 'lstm_nparams': 50, 'n_steps': 15}
-0.091486 (0.085067) with: {'epochs': 300, 'lstm_nparams': 100, 'n_steps': 3}
-0.098913 (0.096328) with: {'epochs': 300, 'lstm_nparams': 100, 'n_steps': 6}
-0.136069 (0.174472) with: {'epochs': 300, 'lstm_nparams': 100, 'n_steps': 15}
-0.081375 (0.069631) with: {'epochs': 300, 'lstm_nparams': 150, 'n_steps': 3}
-0.106906 (0.117611) with: {'epochs': 300, 'lstm_nparams': 150, 'n_steps': 6}
-0.088193 (0.085153) with: {'epochs': 300, 'lstm_nparams': 150, 'n_steps': 15}
